City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
122,narrabri,-30.3167,149.7833,13.94,54,0,1.28,AU,1690412913
123,port mathurin,-19.6833,63.4167,23.7,76,61,5.77,MU,1690412705
124,saipan,15.1355,145.701,27.39,100,100,7.2,MP,1690412913
125,pangoa,-12.1167,-73.0,25.46,61,53,0.69,PE,1690412914
126,zakamensk,50.3741,103.2863,13.31,88,23,0.8,RU,1690412914
127,alo,7.4178,6.7371,24.42,94,85,1.65,NG,1690412467
128,tazacorte,28.629,-17.9293,23.54,90,20,6.69,ES,1690412914
129,berezovo,63.9381,65.0419,14.0,95,100,2.49,RU,1690412914
130,cidreira,-30.1811,-50.2056,17.33,89,100,6.19,BR,1690412914
131,maun,-19.9833,23.4167,14.25,38,0,2.67,BW,1690412915
132,lihue,21.9789,-159.3672,30.77,67,75,6.17,US,1690412330
133,umm ruwaba,12.9061,31.2158,26.45,65,100,6.35,SD,1690412919
134,les cayes,18.2,-73.75,29.21,69,100,2.93,HT,1690412919
135,launceston,-41.45,147.1667,10.45,91,100,5.66,AU,1690412919
136,meknes,33.9776,-5.525,21.67,63,0,2.64,MA,1690412919
137,chibougamau,49.9168,-74.3659,20.33,64,100,4.42,CA,1690412920
138,cruzeiro do oeste,-23.785,-53.0733,22.08,53,52,0.99,BR,1690412920
139,rancho palos verdes,33.7445,-118.387,37.82,62,20,7.2,US,1690412920
140,namibe,-15.1961,12.1522,16.13,88,84,3.23,AO,1690412920
141,guayaramerin,-10.8368,-65.3614,27.41,41,4,1.36,BO,1690412921
142,tadine,-21.55,167.8833,20.91,56,96,8.46,NC,1690412476
143,argo,37.6333,22.7333,29.32,48,6,2.52,GR,1690412921
144,dryden,49.7833,-92.7503,28.16,57,40,1.03,CA,1690412539
145,ilhabela,-23.7781,-45.3581,22.53,69,47,2.05,BR,1690412921
146,fortuna,40.5982,-124.1573,22.18,67,0,6.17,US,1690412321
147,punta arenas,-53.15,-70.9167,0.51,74,18,5.3,CL,1690412771
148,harper,4.375,-7.7169,24.98,89,75,4.33,LR,1690412393
149,cabo san lucas,22.8909,-109.9124,34.78,68,72,2.24,MX,1690412334
150,cypress,33.817,-118.0373,41.91,50,20,5.14,US,1690412922
151,carutapera,-1.195,-46.02,25.4,85,10,3.24,BR,1690412785
152,hun,29.1268,15.9477,33.11,12,0,3.66,LY,1690412922
153,talnakh,69.4865,88.3972,22.34,63,26,2.43,RU,1690412923
154,carbonear,47.7332,-53.2148,22.23,71,92,5.76,CA,1690412923
155,zouerate,22.7187,-12.4521,34.67,14,8,9.68,MR,1690412923
156,petropavlovsk-kamchatsky,53.0452,158.6483,21.33,68,0,2.0,RU,1690412923
157,lompoc,34.6391,-120.4579,33.77,73,75,4.12,US,1690412180
158,alice springs,-23.7,133.8833,11.75,76,100,0.0,AU,1690412627
159,yuzhno-kurilsk,44.0306,145.8556,20.71,87,77,2.11,RU,1690412924
160,prado,-17.3411,-39.2208,21.48,76,18,2.52,BR,1690412328
161,lensk,60.7253,114.9278,19.96,85,46,2.0,RU,1690412924
162,pike road,32.2843,-86.103,33.83,75,60,6.16,US,1690412924
163,avarua,-21.2078,-159.775,24.03,69,40,3.09,CK,1690412924
164,hamilton,39.1834,-84.5333,31.69,68,20,8.23,US,1690412083
165,iwanai,42.9744,140.5089,27.22,69,100,1.11,JP,1690412925
166,kailua-kona,19.6406,-155.9956,31.39,77,40,5.66,US,1690412925
167,qamdo,31.1667,97.2333,0.66,91,8,2.43,CN,1690412925
168,ambodifotatra,-16.9833,49.85,21.2,85,47,7.75,MG,1690412458
169,flying fish cove,-10.4217,105.6791,24.82,83,100,4.63,CX,1690412330
170,rodolfo sanchez taboada,31.7167,-116.5667,23.39,72,34,2.68,MX,1690412926
171,wellington,-41.2866,174.7756,13.66,69,66,3.6,NZ,1690412926
172,lebu,-37.6167,-73.65,8.89,84,100,1.29,CL,1690412926
173,amga,60.8953,131.9608,19.21,61,94,1.43,RU,1690412519
174,castillos,-34.1667,-53.8333,10.44,80,57,6.55,UY,1690412926
175,sokur,55.2093,83.319,15.2,79,38,2.16,RU,1690412926
176,taoudenni,22.6783,-3.9836,40.17,17,54,6.03,ML,1690412927
177,basmat,19.3167,77.1667,23.97,92,100,6.71,IN,1690412927
178,kismayo,-0.3582,42.5454,24.42,80,72,6.73,SO,1690412927
179,alghero,40.5589,8.3181,19.05,72,0,0.51,IT,1690412927
180,yanji,42.9075,129.5078,25.41,73,1,1.38,CN,1690412927
181,whitehorse,60.7161,-135.0538,22.43,53,75,2.06,CA,1690412452
182,qandala,11.472,49.8728,32.37,45,9,6.3,SO,1690412928
183,namdrik,5.5994,168.1028,28.24,75,82,3.09,MH,1690412928
184,shkoder,42.0683,19.5126,24.1,78,47,1.66,AL,1690412928
185,sinop,41.7711,34.8709,22.97,43,0,4.82,TR,1690412928
186,sisimiut,66.9395,-53.6735,6.57,82,50,1.64,GL,1690412390
187,tralee,52.2704,-9.7026,16.04,96,100,7.86,IE,1690412444
188,weno,7.4515,151.8468,27.84,77,69,3.72,FM,1690412929
189,malgrat de mar,41.6466,2.7414,25.06,79,1,0.89,ES,1690412929
190,palmer,42.1584,-72.3287,28.78,57,40,6.17,US,1690412363
191,jiuquan,39.7432,98.5174,24.2,34,85,1.08,CN,1690412929
192,brisas de zicatela,15.8369,-97.0419,31.29,55,75,3.09,MX,1690412929
193,atafu village,-8.5421,-172.5159,28.42,74,30,8.55,TK,1690412929
194,bowen,-20.0167,148.2333,21.7,67,90,9.0,AU,1690412930
195,verkhnevilyuysk,63.4453,120.3167,16.85,51,62,2.86,RU,1690412930
196,labasa,-16.4167,179.3833,22.73,89,100,3.5,FJ,1690412930
197,saguenay,48.4168,-71.0657,26.46,50,100,4.63,CA,1690412762
198,pacific grove,36.6177,-121.9166,27.44,83,40,4.63,US,1690412930
199,mo i rana,66.3128,14.1428,15.18,89,100,1.03,NO,1690412930
200,qaqortoq,60.7167,-46.0333,6.56,84,89,2.21,GL,1690412931
201,bargaal,11.2864,51.0773,26.82,67,14,11.94,SO,1690412931
202,punta del este,-34.9667,-54.95,12.76,86,20,7.6,UY,1690412470
203,ribeira grande,38.5167,-28.7,23.21,94,13,4.02,PT,1690412931
204,wusong,30.95,117.7833,26.93,87,72,1.67,CN,1690412931
205,ghat,24.9647,10.1728,32.01,11,0,1.19,LY,1690412534
206,kertih,4.5141,103.4483,24.15,89,100,1.69,MY,1690412932
207,holualoa,19.6228,-155.9522,29.32,77,40,5.66,US,1690412932
208,kapuskasing,49.4169,-82.4331,22.88,63,100,2.15,CA,1690412932
209,rio grande,-32.035,-52.0986,15.06,88,63,4.75,BR,1690412401
210,susaki,33.3667,133.2833,28.75,74,12,0.37,JP,1690412932
211,tamala,52.541,43.2515,19.86,71,27,4.11,RU,1690412933
212,fort mcmurray,56.7268,-111.381,20.77,56,75,4.12,CA,1690412334
213,columbus,39.9612,-82.9988,31.46,67,75,7.2,US,1690412794
214,port lincoln,-34.7333,135.8667,14.22,56,51,8.23,AU,1690412933
215,buala,-8.145,159.5921,26.91,85,100,3.13,SB,1690412341
216,dazhou,31.2159,107.5009,24.16,95,100,1.33,CN,1690412933
217,muynoq,43.7683,59.0214,26.76,50,65,4.81,UZ,1690412933
218,ndjole,-0.1783,10.7649,24.92,79,76,1.47,GA,1690412934
219,xining,36.6167,101.7667,13.48,95,100,1.01,CN,1690412416
220,georgetown,5.4112,100.3354,26.96,89,40,0.0,MY,1690412813
221,kirkwall,58.9848,-2.9587,9.98,87,1,2.06,GB,1690412934
